ID,Country ,Country Code,YEAR,Population,Electricity 
SVN2019,Slovenia,SVN,2019,2087946,0
SVN2020,Slovenia,SVN,2020,2088000,0
LSO2017,Lesotho,LSO,2017,2091412,33.7
LSO2018,Lesotho,LSO,2018,2108132,47
GAB2018,Gabon,GAB,2018,2119275,93.03568268
LSO2019,Lesotho,LSO,2019,2125268,0
LSO2020,Lesotho,LSO,2020,2142000,0
GMB2016,"Gambia, The",GMB,2016,2149139,56.04903412
BWA2016,Botswana,BWA,2016,2159944,60.35446548
GAB2019,Gabon,GAB,2019,2172579,0
BWA2017,Botswana,BWA,2017,2205128,62.60235214
GMB2017,"Gambia, The",GMB,2017,2213894,56.2
GAB2020,Gabon,GAB,2020,2226000,0
BWA2018,Botswana,BWA,2018,2254126,64.85172272
GMB2018,"Gambia, The",GMB,2018,2280102,60.3
BWA2019,Botswana,BWA,2019,2303697,0
GMB2019,"Gambia, The",GMB,2019,2347706,0
BWA2020,Botswana,BWA,2020,2352000,0
NAM2016,Namibia,NAM,2016,2358041,49.7
PSS2016,Pacific island small states,PSS,2016,2388307,81.5220127
NAM2017,Namibia,NAM,2017,2402603,52.5
GMB2020,"Gambia, The",GMB,2020,2417000,0
PSS2017,Pacific island small states,PSS,2017,2422086,82.96948139
NAM2018,Namibia,NAM,2018,2448255,53.87387466
PSS2018,Pacific island small states,PSS,2018,2457367,85.50135884
PSS2019,Pacific island small states,PSS,2019,2493696,0
NAM2019,Namibia,NAM,2019,2494530,0
PSS2020,Pacific island small states,PSS,2020,2530000,0
NAM2020,Namibia,NAM,2020,2541000,0
MDA2020,Moldova,MDA,2020,2651000,0
QAT2016,Qatar,QAT,2016,2654374,100
MDA2019,Moldova,MDA,2019,2657637,0
MDA2018,Moldova,MDA,2018,2706049,100
QAT2017,Qatar,QAT,2017,2724724,100
LTU2020,Lithuania,LTU,2020,2753000,0
MDA2017,Moldova,MDA,2017,2755158,100
QAT2018,Qatar,QAT,2018,2781677,100
LTU2019,Lithuania,LTU,2019,2786844,0
LTU2018,Lithuania,LTU,2018,2801543,100
MDA2016,Moldova,MDA,2016,2802170,100
LTU2017,Lithuania,LTU,2017,2828403,100
QAT2019,Qatar,QAT,2019,2832067,0
ALB2020,Albania,ALB,2020,2850000,0
ALB2019,Albania,ALB,2019,2854191,0
ALB2018,Albania,ALB,2018,2866376,100
LTU2016,Lithuania,LTU,2016,2868231,100
ALB2017,Albania,ALB,2017,2873457,100
ALB2016,Albania,ALB,2016,2876101,100
